dato,starttid,slutttid,hendelsenavn,videoid
25.06.2014,21:30,23:00,Åpningsforestilling,ID
26.06.2014,12:30,13:00,Festivalstudio,ID
26.06.2014,13:00,14:30,Forestilling A,ID
26.06.2014,14:30,17:00,Festivalstudio,ID
26.06.2014,17:00,17:45,Gullsekken,ID
26.06.2014,17:45,18:00,Festivalstudio,ID
26.06.2014,18:00,19:30,Forestilling B,ID
26.06.2014,19:30,20:00,Festivalstudio,ID
26.06.2014,20:00,23:30,Drømmekveld fra ISAK,3113745
27.06.2014,12:30,13:00,Festivalstudio,ID
27.06.2014,13:00,14:30,Forestilling C,ID
27.06.2014,14:30,16:00,Festivalstudio,ID
27.06.2014,16:00,17:45,Utekonsert fra Dokkparken,ID
27.06.2014,17:45,18:00,Festivalstudio,ID
27.06.2014,18:00,19:30,Forestilling D,ID
27.06.2014,19:30,20:00,Festivalstudio,ID
28.06.2014,12:30,13:00,Festivalstudio,ID
28.06.2014,13:00,14:30,Forestilling E,ID
28.06.2014,14:30,15:00,Festivalstudio,ID
28.06.2014,15:00,16:30,Utekonsert fra Dokkparken,ID
28.06.2014,16:30,18:00,Festivalstudio,ID
28.06.2014,18:00,19:30,Forestilling F,ID
28.06.2014,19:30,20:00,Festivalstudio,ID
28.06.2014,20:00,21:00,Filmforestilling,ID
29.06.2014,12:30,13:00,Festivalstudio,ID
29.06.2014,13:00,14:30,Kirkekonsert,ID
29.06.2014,14:30,15:00,Festivalstudio,ID
29.06.2014,15:00,16:00,UNG 2014-Show fra Torget,ID
29.06.2014,16:00,16:30,Festivalstudio,ID
29.06.2014,16:30,17:30,Ingen sending,ID
29.06.2014,17:30,18:00,Festivalstudio,ID
29.06.2014,18:00,21:00,Festkveld fra Samfundet,ID
29.06.2014,21:00,21:30,Prisutdeling og TV-show,ID
29.06.2014,21:30,23:00,Vindu mot verden,ID
29.06.2014,23:00,23:59,Ingen sending,ID
30.06.2014,00:00,23:59,Ingen sending,ID
01.07.2014,00:00,23:59,Ingen sending,ID
02:07.2014,00:00,23:59,Ingen sending,ID
03.07.2014,00:00,23:59,Ingen sending,ID
04.07.2014,00:00,23:59,Ingen sending,ID
05.07.2014,00:00,23:59,Ingen sending,ID
